"","upc","descrip.X1","descrip.X2","descrip.X3","descrip.X4","descrip.X5","descrip.X6","price","q","sales","volsales","unit","descrip1"
"38", 1820000489,BUDWEISER,"ICE",DRAF,BUDWEISER,"ICE",DRAF,0.66428822,8.163285e+03,5.421930e+03,2.897966e+06,"Oz","BUDWEISER ""ICE"" DRAF"
"39", 1820000610,ELEPHANT,RED,ALE,ELEPHANT,RED,ALE,1.08202640,6.597806e+01,7.139000e+01,2.342221e+04,"Oz","ELEPHANT RED ALE"
"40", 1820000613,RED,WOLF,LAGER,LNNR,RED,WOLF,0.62146777,8.223266e+04,4.995887e+04,2.919259e+07,"Oz","RED WOLF LAGER LNNR"
"41", 1820000617,RED,WOLF,LAGER,LNNR,RED,WOLF,0.63399255,1.077182e+05,6.694464e+04,3.823996e+07,"Oz","RED WOLF LAGER LNNR"
"42", 1820000618,ELK,MOUNTAIN,RED,LAG,ELK,MOUNTAIN,0.92453551,1.277575e+03,1.178370e+03,4.535392e+05,"Oz","ELK MOUNTAIN RED LAG"
"43", 1820000622,ELK,MOUNTAIN,AMBER,A,ELK,MOUNTAIN,0.88064361,3.478843e+02,3.012200e+02,1.234989e+05,"Oz","ELK MOUNTAIN AMBER A"
"44", 1820000637,BUDWEISER,LIGHT,CUBE,BUDWEISER,LIGHT,CUBE,0.47661677,2.639122e+02,1.248500e+02,9.368885e+04,"Oz","BUDWEISER LIGHT CUBE"
"45", 1820000644,BUDWEISER,ICE,DRAFT,BUDWEISER,ICE,DRAFT,0.59032804,1.635896e+05,8.974026e+04,5.807431e+07,"Oz","BUDWEISER ICE DRAFT"
"46", 1820000646,BUDWEISER,"ICE",DRAF,BUDWEISER,"ICE",DRAF,0.63118345,7.718233e+04,4.753967e+04,2.739973e+07,"Oz","BUDWEISER ""ICE"" DRAF"
"47", 1820000647,BUDWEISER,"ICE",DRAF,BUDWEISER,"ICE",DRAF,0.62789494,1.052050e+04,6.607730e+03,3.734778e+06,"Oz","BUDWEISER ""ICE"" DRAF"
"48", 1820000649,ICE,DRAFT,LIGHT,ICE,DRAFT,LIGHT,0.59211248,7.425531e+03,3.614680e+03,2.636063e+06,"Oz","ICE DRAFT LIGHT"
"49", 1820000651,ICE,DRAFT,LIGHT,ICE,DRAFT,LIGHT,0.66426837,4.276578e+03,2.840870e+03,1.518185e+06,"Oz","ICE DRAFT LIGHT"
"50", 1820000670,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.64767319,7.369150e+04,4.502907e+04,2.616048e+07,"Oz","MICHELOB GOLDEN DRAF"
"51", 1820000695,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.59442002,3.572412e+05,1.956742e+05,1.268206e+08,"Oz","MICHELOB GOLDEN DRAF"
"52", 1820000696,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.66714483,1.319561e+03,8.796000e+02,4.684442e+05,"Oz","MICHELOB GOLDEN DRAF"
"53", 1820000699,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.59719342,5.776919e+05,3.128986e+05,2.050806e+08,"Oz","MICHELOB GOLDEN DRAF"
"54", 1820000700,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.64712238,8.943026e+03,5.618660e+03,3.174774e+06,"Oz","MICHELOB GOLDEN DRAF"
"55", 1820000701,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.49377525,8.637128e+02,4.293800e+02,3.066180e+05,"Oz","MICHELOB GOLDEN DRAF"
"56", 1820000759,MICHELOB,GOLDEN,DRFT,MICHELOB,GOLDEN,DRFT,0.64959812,1.158155e+05,7.022087e+04,4.111450e+07,"Oz","MICHELOB GOLDEN DRFT"
"57", 1820000769,BUDWEISER,LIGHT,LONG,BUDWEISER,LIGHT,LONG,0.57026732,8.565152e+03,4.815950e+03,3.040629e+06,"Oz","BUDWEISER LIGHT LONG"
"58", 1820000770,MICHELOB,DRY,LONGNEC,MICHELOB,DRY,LONGNEC,0.61448854,1.366346e+04,8.094110e+03,4.850527e+06,"Oz","MICHELOB DRY LONGNEC"
"59", 1820000771,BUDWEISER,BEER,LONG,BUDWEISER,BEER,LONG,0.57558775,1.740621e+04,9.874310e+03,6.179205e+06,"Oz","BUDWEISER BEER LONG"
"60", 1820000773,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.64092731,4.058650e+02,2.601300e+02,1.440821e+05,"Oz","BUDWEISER LIGHT BEER"
"61", 1820000774,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.63437462,1.011397e+04,6.409920e+03,3.590459e+06,"Oz","BUDWEISER BEER"
"62", 1820000780,BUDWEISER,DRY,LONGNE,BUDWEISER,DRY,LONGNE,0.60505885,8.562753e+04,5.006654e+04,3.039777e+07,"Oz","BUDWEISER DRY LONGNE"
"63", 1820000781,BUDWEISER,DRY,BEER,BUDWEISER,DRY,BEER,0.57800156,8.152489e+04,4.630058e+04,2.894134e+07,"Oz","BUDWEISER DRY BEER"
"64", 1820000784,O'DOUL'S,N/A,LONGNEC,O'DOUL'S,N/A,LONGNEC,0.63124526,1.150939e+06,6.970658e+05,4.085835e+08,"Oz","O'DOUL'S N/A LONGNEC"
"65", 1820000800,MICHELOB,DRY,LONGNEC,MICHELOB,DRY,LONGNEC,0.67569119,5.833060e+04,3.840473e+04,2.070736e+07,"Oz","MICHELOB DRY LONGNEC"
"66", 1820000801,BUSCH,LIGHT,BEER,BUSCH,LIGHT,BEER,0.44833463,5.839658e+04,2.583016e+04,2.073079e+07,"Oz","BUSCH LIGHT BEER"
"67", 1820000814,MICHELOB,DRY,LONGNEC,MICHELOB,DRY,LONGNEC,0.61613512,5.615333e+04,3.341597e+04,1.993443e+07,"Oz","MICHELOB DRY LONGNEC"
"68", 1820000830,BUDWEISER,LIGHT,LONG,BUDWEISER,LIGHT,LONG,0.61603808,1.199601e+01,7.389999e+00,4.258584e+03,"Oz","BUDWEISER LIGHT LONG"
"69", 1820000833,BUDWEISER,LIGHT,LONG,BUDWEISER,LIGHT,LONG,0.61907113,4.297331e+05,2.562967e+05,1.525553e+08,"Oz","BUDWEISER LIGHT LONG"
"70", 1820000834,BUDWEISER,BEER,LONG,BUDWEISER,BEER,LONG,0.62164909,8.370997e+05,4.994368e+05,2.971704e+08,"Oz","BUDWEISER BEER LONG"
"71", 1820000846,CARLSBERG,BEER,CARLSBERG,BEER,CARLSBERG,BEER,1.08202640,3.988674e+03,4.315850e+03,1.415979e+06,"Oz","CARLSBERG BEER"
"72", 1820000847,ELEPHANT,BEER,ELEPHANT,BEER,ELEPHANT,BEER,1.08202640,5.998005e+00,6.490000e+00,2.129292e+03,"Oz","ELEPHANT BEER"
"73", 1820000869,MICHELOB,CLASSIC,DAR,MICHELOB,CLASSIC,DAR,0.65006536,6.931895e+04,4.320432e+04,2.460823e+07,"Oz","MICHELOB CLASSIC DAR"
"74", 1820000875,WINTER,BREW,WINTER,BREW,WINTER,BREW,0.96915251,2.597136e+03,2.505460e+03,9.219834e+05,"Oz","WINTER BREW"
"75", 1820000877,BUDWEISER,LIGHT,NR,BUDWEISER,LIGHT,NR,0.59777409,3.838244e+05,2.153906e+05,1.362577e+08,"Oz","BUDWEISER LIGHT NR"
"76", 1820000884,MICHELOB,LIGHT,BEER,MICHELOB,LIGHT,BEER,0.64515579,1.195522e+05,7.096584e+04,4.244105e+07,"Oz","MICHELOB LIGHT BEER"
"77", 1820000885,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.64092731,1.492837e+02,9.567999e+01,5.299571e+04,"Oz","BUDWEISER LIGHT BEER"
"78", 1820000891,MICHELOB,REGULAR,BEE,MICHELOB,REGULAR,BEE,0.65884095,3.956404e+05,2.387598e+05,1.404524e+08,"Oz","MICHELOB REGULAR BEE"
"79", 1820000902,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.65093452,9.140961e+03,5.933760e+03,3.245041e+06,"Oz","BUDWEISER LIGHT BEER"
"80", 1820000926,BUDWEISER,BEER,N.R.B,BUDWEISER,BEER,N.R.B,0.59896785,8.064678e+05,4.500857e+05,2.862961e+08,"Oz","BUDWEISER BEER N.R.B"
"81", 1820000928,BUDWEISER,BEER,LONG,BUDWEISER,BEER,LONG,0.61187005,2.399202e+01,1.468000e+01,8.517168e+03,"Oz","BUDWEISER BEER LONG"
"82", 1820000956,MICHELOB,LIGHT,BEER,MICHELOB,LIGHT,BEER,0.66535807,2.468059e+05,1.555654e+05,8.761611e+07,"Oz","MICHELOB LIGHT BEER"
"83", 1820000972,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.60773921,1.751751e+04,1.060067e+04,6.218715e+06,"Oz","BUDWEISER BEER"
"84", 1820000987,MICHELOB,REGULAR,BEE,MICHELOB,REGULAR,BEE,0.67182136,7.365491e+05,4.664129e+05,2.614749e+08,"Oz","MICHELOB REGULAR BEE"
"85", 1820000988,MICHELOB,REGULAR,BEE,MICHELOB,REGULAR,BEE,0.96375942,4.513499e+03,4.353300e+03,1.602292e+06,"Oz","MICHELOB REGULAR BEE"
"86", 1820000997,BUDWEISER,BEER,N.R.B,BUDWEISER,BEER,N.R.B,0.64943641,2.514364e+04,1.620994e+04,8.925992e+06,"Oz","BUDWEISER BEER N.R.B"
"87", 1820011047,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.59387600,1.408200e+06,8.120023e+05,4.999109e+08,"Oz","BUDWEISER BEER"
"88", 1820011168,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.47643793,4.563643e+06,2.132987e+06,1.620093e+09,"Oz","BUDWEISER BEER"
"89", 1820015168,NATURAL,LIGHT,NATURAL,LIGHT,NATURAL,LIGHT,0.34240547,9.860721e+03,3.181770e+03,3.500556e+06,"Oz","NATURAL LIGHT"
"90", 1820023920,BUDWEISER,DRAFT,BALL,BUDWEISER,DRAFT,BALL,0.44757521,1.160959e+04,5.146890e+03,4.121403e+06,"GA","BUDWEISER DRAFT BALL"
"91", 1820029031,BUDWEISER,DRY,BEER,BUDWEISER,DRY,BEER,0.48733190,9.380881e+03,4.531800e+03,3.330213e+06,"Oz","BUDWEISER DRY BEER"
"92", 1820029167,BUDWEISER,DRY,BEER,BUDWEISER,DRY,BEER,0.46422112,1.932317e+05,8.850383e+04,6.859727e+07,"Oz","BUDWEISER DRY BEER"
"93", 1820041047,MICHELOB,REGULAR,BEE,MICHELOB,REGULAR,BEE,0.66020864,3.214931e+03,2.123320e+03,1.141301e+06,"Oz","MICHELOB REGULAR BEE"
"94", 1820041218,MICHELOB,MICHELOB,MICHELOB,MICHELOB,MICHELOB,MICHELOB,0.53312141,7.953355e+03,4.196520e+03,2.823441e+06,"Oz","MICHELOB"
"95", 1820043218,MICHELOB,LIGHT,MICHELOB,LIGHT,MICHELOB,LIGHT,0.52679348,2.105300e+03,1.092830e+03,7.473815e+05,"Oz","MICHELOB LIGHT"
"96", 1820043273,MICHELOB,LIGHT,BEER,MICHELOB,LIGHT,BEER,0.49933264,5.998005e+01,2.995000e+01,2.129292e+04,"Oz","MICHELOB LIGHT BEER"
"97", 1820053047,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.59171367,6.623837e+05,3.809357e+05,2.351462e+08,"Oz","BUDWEISER LIGHT BEER"
"98", 1820053168,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.47562671,1.878335e+06,8.788611e+05,6.668091e+08,"Oz","BUDWEISER LIGHT BEER"
"99", 1820053178,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.47450069,2.039322e+03,9.681500e+02,7.239593e+05,"Oz","BUDWEISER LIGHT BEER"
"100", 1820057920,BUDWEISER,LT,DRAFT,B,BUDWEISER,LT,0.44776958,8.583390e+03,3.840440e+03,3.047104e+06,"GA","BUDWEISER LT DRAFT B"
"101", 1820061047,BUSCH,BEER,BUSCH,BEER,BUSCH,BEER,0.44991320,1.511737e+05,6.699032e+04,5.366668e+07,"Oz","BUSCH BEER"
"102", 1820061166,BUSCH,BEER,BUSCH,BEER,BUSCH,BEER,0.35081553,2.600735e+04,9.007240e+03,9.232610e+06,"Oz","BUSCH BEER"
"103", 1820061168,BUSCH,BEER,BUSCH,BEER,BUSCH,BEER,0.35071188,1.397967e+06,4.784220e+05,4.962783e+08,"Oz","BUSCH BEER"
"104", 1820079047,O'DOUL'S,NON,ALCOHOL,O'DOUL'S,NON,ALCOHOL,0.58091247,2.082867e+05,1.169015e+05,7.394179e+07,"Oz","O'DOUL'S NON ALCOHOL"
"105", 1820079283,O'DOUL'S,N/A,LONGNEC,O'DOUL'S,N/A,LONGNEC,0.56761187,3.208933e+03,1.805990e+03,1.139171e+06,"Oz","O'DOUL'S N/A LONGNEC"
"106", 1820084167,ICE,DRAFT,LIGHT,ICE,DRAFT,LIGHT,0.51008362,1.223593e+04,6.225860e+03,4.343756e+06,"Oz","ICE DRAFT LIGHT"
"107", 1820086167,BUSCH,LIGHT,BEER,BUSCH,LIGHT,BEER,0.35039827,8.012376e+05,2.744515e+05,2.844393e+08,"Oz","BUSCH LIGHT BEER"
"108", 1820087167,BUD,ICE,BUD,ICE,BUD,ICE,0.48191705,1.274936e+05,6.089235e+04,4.526023e+07,"Oz","BUD ICE"
"109", 1820092867,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.47626939,1.219490e+06,5.674654e+05,4.329191e+08,"Oz","MICHELOB GOLDEN DRAF"
"110", 1820092876,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.49780485,1.943354e+04,9.581720e+03,6.898906e+06,"Oz","MICHELOB GOLDEN DRAF"
"111", 1820096867,MICHELOB,GOLDEN,DRAF,MICHELOB,GOLDEN,DRAF,0.47567448,8.317074e+05,3.889440e+05,2.952561e+08,"Oz","MICHELOB GOLDEN DRAF"
"112", 1969380011,GUINESS,STOUT,GIFT,B,GUINESS,STOUT,1.25878380,2.111298e+03,2.647360e+03,7.495108e+05,"Oz","GUINESS STOUT GIFT B"
"113", 1975120103,MORETTI,N.R.,BTLS,MORETTI,N.R.,BTLS,1.19039570,2.999003e+01,3.555000e+01,1.064646e+04,"Oz","MORETTI N.R. BTLS"
"114", 1975120104,MORETTI,N.R.,BTLS,MORETTI,N.R.,BTLS,1.12971660,6.777746e+02,7.639700e+02,2.406100e+05,"Oz","MORETTI N.R. BTLS"
"115", 2017224253,CHERRY,RAIL,BEER,CHERRY,RAIL,BEER,1.16538740,5.998005e+00,6.990000e+00,2.129292e+03,"Oz","CHERRY RAIL BEER"
"116", 2124222010,RED,HOOK,DOUBLE,BLAC,RED,HOOK,1.46776060,1.942687e+02,2.851400e+02,6.896540e+04,"Oz","RED HOOK DOUBLE BLAC"
"117", 2124260002,BLACKHOOK,PORTER,N.R,BLACKHOOK,PORTER,N.R,1.08202640,1.529491e+03,1.654950e+03,5.429695e+05,"Oz","BLACKHOOK PORTER N.R"
"118", 2124260003,BALLARD,BITTER,N.R.,BALLARD,BITTER,N.R.,1.08202640,1.121627e+03,1.213630e+03,3.981776e+05,"Oz","BALLARD BITTER N.R."
"119", 2124260006,RED,HOOK,ESB,N.R.,RED,HOOK,1.11530730,1.384340e+04,1.519390e+04,4.914406e+06,"Oz","RED HOOK ESB N.R."
"120", 2124260007,WHEAT,HOOK,N.R.,WHEAT,HOOK,N.R.,1.16538740,9.056988e+02,1.055490e+03,3.215231e+05,"Oz","WHEAT HOOK N.R."
"121", 2124260011,WHEAT,HOOK,N.R.,WHEAT,HOOK,N.R.,1.16538740,1.175609e+03,1.370040e+03,4.173412e+05,"Oz","WHEAT HOOK N.R."
"122", 2129697503,ST,REGIS,NON-ALCHL,C,ST,REGIS,2.99681930,4.584507e+03,1.322218e+04,1.627500e+06,"ML","ST REGIS NON-ALCHL C"
"123", 2129697506,ST,REGIS,NON-ALCH,WH,ST,REGIS,2.78717280,2.002817e+03,5.554210e+03,7.110000e+05,"ML","ST REGIS NON-ALCH WH"
"124", 2129697507,ST,REGIS,NON-ALCH,CH,ST,REGIS,2.70063230,1.652113e+03,4.461980e+03,5.865000e+05,"ML","ST REGIS NON-ALCH CH"
"125", 2129697508,ST,REGIS,NON-ALCHL,C,ST,REGIS,2.80076190,1.823239e+03,5.095070e+03,6.472500e+05,"ML","ST REGIS NON-ALCHL C"
"126", 2210000047,PABST,LIGHT,BEER,PABST,LIGHT,BEER,0.48516124,7.137626e+02,3.453300e+02,2.533857e+05,"Oz","PABST LIGHT BEER"
"127", 2210000071,PABST,BEER,PABST,BEER,PABST,BEER,0.48553175,4.012666e+03,1.946930e+03,1.424496e+06,"Oz","PABST BEER"
"128", 2210000170,PABST,BEER,PABST,BEER,PABST,BEER,0.47502881,1.511497e+03,7.178400e+02,5.365816e+05,"Oz","PABST BEER"
"129", 2210000171,PABST,BLUE,RIBBON,PABST,BLUE,RIBBON,0.33283350,1.758615e+04,5.852670e+03,6.243084e+06,"Oz","PABST BLUE RIBBON"
"130", 2210000230,BIG,BEAR,MALT,LIQUOR,BIG,BEAR,0.42218581,3.742089e+03,1.583750e+03,1.328442e+06,"Oz","BIG BEAR MALT LIQUOR"
"131", 2210000392,OLD,ENGLISH,MALT,LIQ,OLD,ENGLISH,0.56343734,4.135291e+03,2.336340e+03,1.468028e+06,"Oz","OLD ENGLISH MALT LIQ"
"132", 2210000600,HAMMS,BEER,HAMMS,BEER,HAMMS,BEER,0.48194066,1.431124e+04,6.898320e+03,5.080491e+06,"Oz","HAMMS BEER"
"133", 2210000640,HAMMS,DRAFT,BEER,HAMMS,DRAFT,BEER,0.48014355,2.099302e+03,1.008840e+03,7.452522e+05,"Oz","HAMMS DRAFT BEER"
"134", 2210000700,HAMMS,LIGHT,BEER,HAMMS,LIGHT,BEER,0.48182681,1.001667e+03,4.826300e+02,3.555918e+05,"Oz","HAMMS LIGHT BEER"
"135", 2210009510,PABST,GENUINE,DRAFT,PABST,GENUINE,DRAFT,0.33293805,1.727426e+03,5.748600e+02,6.132361e+05,"Oz","PABST GENUINE DRAFT"
"136", 2210014392,OLD,ENGLISH,BEER,800,OLD,ENGLISH,0.47810385,1.354550e+04,6.474950e+03,4.808651e+06,"Oz","OLD ENGLISH BEER 800"
"137", 2210018500,HAMMS,BEER,HAMMS,BEER,HAMMS,BEER,0.45381752,8.517168e+02,3.720900e+02,3.023595e+05,"Oz","HAMMS BEER"
"138", 2210018510,HAMMS,BEER,HAMMS,BEER,HAMMS,BEER,0.33161864,2.237496e+05,7.185307e+04,7.943111e+07,"Oz","HAMMS BEER"
"139", 2210018570,HAMMS,DRAFT,BEER,HAMMS,DRAFT,BEER,0.40496793,3.478843e+02,1.369700e+02,1.234989e+05,"Oz","HAMMS DRAFT BEER"
"140", 2210018580,HAMMS,DRAFT,BEER,HAMMS,DRAFT,BEER,0.33051899,1.634097e+05,5.283690e+04,5.801043e+07,"Oz","HAMMS DRAFT BEER"
"141", 2210021500,HAMMS,LIGHT,BEER,HAMMS,LIGHT,BEER,0.46598822,9.596809e+01,4.472000e+01,3.406867e+04,"Oz","HAMMS LIGHT BEER"
"142", 2210021510,HAMMS,LIGHT,BEER,HAMMS,LIGHT,BEER,0.32963181,7.279179e+04,2.336203e+04,2.584109e+07,"Oz","HAMMS LIGHT BEER"
"143", 2210047510,PABST,LIGHT,PABST,LIGHT,PABST,LIGHT,0.31635517,1.559481e+03,4.933500e+02,5.536159e+05,"Oz","PABST LIGHT"
"144", 2556924161,SUMMIT,EXTRA,PALE,AL,SUMMIT,EXTRA,1.00808470,1.421527e+03,1.424130e+03,5.046422e+05,"Oz","SUMMIT EXTRA PALE AL"
"145", 2556971416,SUMMIT,PORTER,-,UNIO,SUMMIT,PORTER,1.15204970,1.619461e+02,1.847300e+02,5.749088e+04,"Oz","SUMMIT PORTER - UNIO"
"146", 2791610005,PIKE,PLACE,PALE,ALE,PIKE,PLACE,1.16538740,5.998005e+00,6.990000e+00,2.129292e+03,"Oz","PIKE PLACE PALE ALE"
"147", 2981520001,ZYWIEC,POLISH,BEER,N,ZYWIEC,POLISH,0.99333912,2.215663e+04,2.181969e+04,7.865605e+06,"Oz","ZYWIEC POLISH BEER N"
"148", 2981520002,OKOCIM,POLISH,BEER,N,OKOCIM,POLISH,0.99750668,3.172945e+04,3.162760e+04,1.126395e+07,"Oz","OKOCIM POLISH BEER N"
"149", 3354494405,TSINGTAO,BEER,TSINGTAO,BEER,TSINGTAO,BEER,1.06910650,8.973016e+03,9.460560e+03,3.185421e+06,"Oz","TSINGTAO BEER"
"150", 3410000004,MILLER,HIGH,LIFE,BEE,MILLER,HIGH,0.62108868,2.085447e+05,1.288757e+05,7.403335e+07,"Oz","MILLER HIGH LIFE BEE"
